3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000102 Free shrinkage level, 29620000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 908000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.1e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000102 Free shrinkage level, 29620000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 908000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.1e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000102 Free shrinkage level, 29620000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 908000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.1e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.00029 Free shrinkage level, 33295000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1017000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000335 Free shrinkage level, 33558000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.075 Grid spacing of steel reinforcements, 1030000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.9e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000335 Free shrinkage level, 33558000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.075 Grid spacing of steel reinforcements, 1030000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.9e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000335 Free shrinkage level, 33558000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1030000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.9e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000117 Free shrinkage level, 30342000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.014 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 920000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.2e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000117 Free shrinkage level, 30342000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 920000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.2e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000132 Free shrinkage level, 30880000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 930000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.3e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000132 Free shrinkage level, 30880000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 930000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.3e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
